source_activity,target_activity,chain_weight,dominant_mode,mode_color
home,work,0.95,car,#4a9eff
home,shopping,0.70,car,#4a9eff
home,school,0.55,car,#4a9eff
home,social,0.60,car,#4a9eff
home,medical,0.30,car,#4a9eff
home,escort,0.45,car,#4a9eff
home,meals,0.35,car,#4a9eff
home,religious,0.20,car,#4a9eff
work,shopping,0.35,car,#4a9eff
work,social,0.20,car,#4a9eff
work,meals,0.25,car,#4a9eff
work,escort,0.15,car,#4a9eff
work,home,0.90,subway_rail,#a78bfa
shopping,home,0.65,walk,#34d399
shopping,social,0.20,walk,#34d399
shopping,meals,0.15,walk,#34d399
school,home,0.40,walk,#34d399
social,home,0.50,car,#4a9eff
meals,home,0.30,car,#4a9eff
escort,school,0.25,car,#4a9eff
religious,home,0.18,car,#4a9eff
medical,home,0.28,car,#4a9eff
